task,success,onnx_path,skipped,params,loss,epoch,hidden_dim,error
task160.json,True,.\task160.onnx,True,,,,,
task161.json,True,.\task161.onnx,True,,,,,
task169.json,True,.\task169.onnx,True,,,,,
task162.json,True,.\task162.onnx,,130234.0,0.00030831454205326736,300.0,48.0,
task171.json,True,.\task171.onnx,True,,,,,
task164.json,True,.\task164.onnx,,130234.0,0.0001455729507142678,350.0,48.0,
task167.json,True,.\task167.onnx,,130234.0,8.125822932925075e-05,350.0,48.0,
task166.json,True,.\task166.onnx,,130234.0,0.00014953644131310284,450.0,48.0,
task172.json,True,.\task172.onnx,,130234.0,0.00010406809451524168,550.0,48.0,
task176.json,False,,,,,,,Attempt failed
task175.json,True,.\task175.onnx,,130234.0,0.00014295830624178052,750.0,48.0,
task168.json,False,,,,,,,Attempt failed
task165.json,False,,,,,,,Attempt failed
task170.json,False,,,,,,,Attempt failed
task163.json,False,,,,,,,Attempt failed
task179.json,True,.\task179.onnx,,130234.0,0.00013923933147452772,500.0,48.0,
task174.json,False,,,,,,,Attempt failed
task173.json,False,,,,,,,Attempt failed
task181.json,True,.\task181.onnx,,130234.0,0.00013589588343165815,350.0,48.0,
task186.json,True,.\task186.onnx,True,,,,,
task178.json,True,.\task178.onnx,,130234.0,7.535992335760966e-05,900.0,48.0,
task180.json,True,.\task180.onnx,,130234.0,0.00011878764780703932,650.0,48.0,
task188.json,True,.\task188.onnx,,130234.0,0.00018678356718737632,350.0,48.0,
task177.json,False,,,,,,,Attempt failed
task183.json,True,.\task183.onnx,,130234.0,0.00013138505164533854,900.0,48.0,
task182.json,False,,,,,,,Attempt failed
task193.json,True,.\task193.onnx,True,,,,,
task192.json,True,.\task192.onnx,,130234.0,0.0001643720897845924,500.0,48.0,
task189.json,True,.\task189.onnx,,130234.0,0.0001872329303296283,1150.0,48.0,
task184.json,False,,,,,,,Attempt failed
task187.json,False,,,,,,,Attempt failed
task185.json,False,,,,,,,Attempt failed
task191.json,True,.\task191.onnx,,130234.0,0.0001522293168818578,1000.0,48.0,
task198.json,True,.\task198.onnx,,130234.0,0.0004221823764964938,300.0,48.0,
task196.json,True,.\task196.onnx,,130234.0,0.00015444426389876753,400.0,48.0,
task190.json,False,,,,,,,Attempt failed
task200.json,False,,,,,,,Attempt failed
task194.json,True,.\task194.onnx,,130234.0,9.97046590782702e-05,1100.0,48.0,
task204.json,True,.\task204.onnx,,130234.0,0.0001848388055805117,400.0,48.0,
task195.json,False,,,,,,,Attempt failed
task199.json,False,,,,,,,Attempt failed
task197.json,False,,,,,,,Attempt failed
task202.json,False,,,,,,,Attempt failed
task207.json,True,.\task207.onnx,,130234.0,0.0001294500398216769,400.0,48.0,
task201.json,False,,,,,,,Attempt failed
task210.json,True,.\task210.onnx,,130234.0,0.00015031418297439814,250.0,48.0,
task208.json,True,.\task208.onnx,,130234.0,0.00031012616818770766,500.0,48.0,
task212.json,True,.\task212.onnx,,130234.0,0.00026505737332627177,250.0,48.0,
task203.json,False,,,,,,,Attempt failed
task205.json,False,,,,,,,Attempt failed
task206.json,False,,,,,,,Attempt failed
task209.json,False,,,,,,,Attempt failed
task211.json,False,,,,,,,Attempt failed
task220.json,True,.\task220.onnx,True,,,,,
task213.json,False,,,,,,,Attempt failed
task222.json,True,.\task222.onnx,True,,,,,
task214.json,False,,,,,,,Attempt failed
task215.json,False,,,,,,,Attempt failed
task216.json,False,,,,,,,Attempt failed
task226.json,True,.\task226.onnx,,130234.0,0.0003197818004991859,250.0,48.0,
task217.json,False,,,,,,,Attempt failed
task227.json,True,.\task227.onnx,,130234.0,0.00019647546287160367,250.0,48.0,
task225.json,True,.\task225.onnx,,130234.0,0.00017559275147505105,450.0,48.0,
task230.json,True,.\task230.onnx,True,,,,,
task218.json,False,,,,,,,Attempt failed
task223.json,True,.\task223.onnx,,130234.0,0.00014435469347517937,850.0,48.0,
task229.json,True,.\task229.onnx,,130234.0,0.0001800867321435362,350.0,48.0,
task219.json,False,,,,,,,Attempt failed
task221.json,False,,,,,,,Attempt failed
task228.json,True,.\task228.onnx,,130234.0,0.00015897616685833782,1000.0,48.0,
task235.json,False,,,,,,,Attempt failed
task224.json,False,,,,,,,Attempt failed
task236.json,True,.\task236.onnx,,130234.0,9.229876741301268e-05,600.0,48.0,
task231.json,False,,,,,,,Attempt failed
task232.json,False,,,,,,,Attempt failed
task237.json,True,.\task237.onnx,,130234.0,9.27342553040944e-05,900.0,48.0,
task233.json,False,,,,,,,Attempt failed
task234.json,False,,,,,,,Attempt failed
task243.json,True,.\task243.onnx,,130234.0,0.0005114175146445632,300.0,48.0,
task245.json,True,.\task245.onnx,,130234.0,0.00014897098299115896,400.0,48.0,
task238.json,False,,,,,,,Attempt failed
task248.json,False,,,,,,,Attempt failed
task239.json,False,,,,,,,Attempt failed
task241.json,True,.\task241.onnx,,130234.0,9.808711183723062e-05,1200.0,48.0,
task240.json,False,,,,,,,Attempt failed
task251.json,True,.\task251.onnx,,130234.0,0.000388080021366477,200.0,48.0,
task242.json,False,,,,,,,Attempt failed
task249.json,True,.\task249.onnx,,130234.0,0.00011359884956618771,700.0,48.0,
task244.json,False,,,,,,,Attempt failed
task246.json,False,,,,,,,Attempt failed
task255.json,True,.\task255.onnx,,130234.0,0.000343384308507666,300.0,48.0,
task258.json,True,.\task258.onnx,True,,,,,
task250.json,True,.\task250.onnx,,130234.0,7.861708581913263e-05,1100.0,48.0,
task256.json,True,.\task256.onnx,,130234.0,0.0001127643117797561,450.0,48.0,
task261.json,True,.\task261.onnx,True,,,,,
task262.json,True,.\task262.onnx,True,,,,,
task247.json,False,,,,,,,Attempt failed
task257.json,True,.\task257.onnx,,130234.0,0.00011496905790409073,600.0,48.0,
task265.json,True,.\task265.onnx,True,,,,,
task266.json,True,.\task266.onnx,True,,,,,
task259.json,True,.\task259.onnx,,130234.0,0.00011732232815120369,700.0,48.0,
task252.json,False,,,,,,,Attempt failed
task253.json,False,,,,,,,Attempt failed
task267.json,True,.\task267.onnx,,130234.0,0.00020447105634957552,450.0,48.0,
task254.json,False,,,,,,,Attempt failed
task272.json,True,.\task272.onnx,True,,,,,
task263.json,True,.\task263.onnx,,130234.0,9.31868635234423e-05,900.0,48.0,
task273.json,True,.\task273.onnx,,130234.0,0.0003319501120131463,200.0,48.0,
task274.json,True,.\task274.onnx,,130234.0,0.00020218135614413768,300.0,48.0,
task276.json,True,.\task276.onnx,True,,,,,
task260.json,False,,,,,,,Attempt failed
task278.json,True,.\task278.onnx,True,,,,,
task264.json,False,,,,,,,Attempt failed
task271.json,True,.\task271.onnx,,130234.0,0.00013057910837233067,750.0,48.0,
task270.json,True,.\task270.onnx,,130234.0,7.151211320888251e-05,1250.0,48.0,
task282.json,True,.\task282.onnx,True,,,,,
task283.json,True,.\task283.onnx,True,,,,,
task268.json,False,,,,,,,Attempt failed
task269.json,False,,,,,,,Attempt failed
task277.json,False,,,,,,,Attempt failed
task279.json,False,,,,,,,Attempt failed
task275.json,False,,,,,,,Attempt failed
task281.json,False,,,,,,,Attempt failed
task288.json,True,.\task288.onnx,,130234.0,0.00012876983964815736,600.0,48.0,
task285.json,True,.\task285.onnx,,130234.0,0.00015111608081497252,1050.0,48.0,
task280.json,False,,,,,,,Attempt failed
task292.json,False,,,,,,,Attempt failed
task294.json,True,.\task294.onnx,True,,,,,
task287.json,True,.\task287.onnx,,130234.0,0.0002387057465966791,850.0,48.0,
task284.json,False,,,,,,,Attempt failed
task293.json,True,.\task293.onnx,,130234.0,0.00017127656610682607,450.0,48.0,
task286.json,False,,,,,,,Attempt failed
task299.json,True,.\task299.onnx,,130234.0,0.0005597184062935412,150.0,48.0,
task298.json,True,.\task298.onnx,,130234.0,0.0003834280068986118,300.0,48.0,
task296.json,True,.\task296.onnx,,130234.0,8.748358959564939e-05,650.0,48.0,
task302.json,True,.\task302.onnx,True,,,,,
task289.json,False,,,,,,,Attempt failed
task303.json,True,.\task303.onnx,,130234.0,0.00019258591055404395,450.0,48.0,
task290.json,False,,,,,,,Attempt failed
task301.json,True,.\task301.onnx,,130234.0,0.00012770420289598405,700.0,48.0,
task300.json,True,.\task300.onnx,,130234.0,0.00012549065286293626,900.0,48.0,
task291.json,False,,,,,,,Attempt failed
task309.json,True,.\task309.onnx,True,,,,,
task295.json,False,,,,,,,Attempt failed
task305.json,True,.\task305.onnx,,130234.0,0.00016895023873075843,450.0,48.0,
task297.json,False,,,,,,,Attempt failed
task311.json,True,.\task311.onnx,,130234.0,0.000123625184642151,250.0,48.0,
task314.json,True,.\task314.onnx,True,,,,,
